Symptoms,Disease
vomiting fever nausea urgency to pass stool abdominal cramps dehydration Frequent loose stools with blood or mucus,Dysentery
Pain during bowel movements discomfort while sitting bleeding after passing stool itching or irritation around the anus swelling or lumps near the anus mucus discharge,Piles
numbness or tingling trembling rapid heartbeat Sudden episodes of intense fear shortness of breath,Panic Disorder
fatigue Persistent cough for more than 2–3 weeks,Tuberculosis
daytime fatigue irritability waking too early waking up frequently at night poor concentration headaches Difficulty falling asleep feeling unrefreshed after sleep,Insomnia
dizziness nausea muscle cramps rapid heartbeat,Heatstroke and Heat Illness
discomfort during lifting or shifting motions difficulty elevating arm beyond 180 degrees shoulder movement causing discomfort while rotation remains full Pain pain during movement,Bicipital Tendonitis (Right Shoulder)
bone pain dark circles around the eyes fever weight loss high blood pressure Abdominal swelling or mass,Neuroblastoma (Childhood Tumour)
fatigue sore throat headache in severe cases paralysis of limbs or breathing muscles stomach pain back or neck stiffness muscle weakness Fever,Polio (Poliomyelitis)
painful lump on the skin swelling pus-filled center fever in severe cases,Boils on Skin
reduced productivity low energy frequent waking at night non-refreshing sleep daytime fatigue difficulty concentrating,Insomnia
sores that do not heal changes in skin color or thickness A lump or growth on the penis swollen lymph nodes in the groin foul-smelling discharge bleeding persistent itching or burning,Penile Cancer
pain when leaning back Pain at the base of the spine increased pain during activities like standing up from sitting or using the toilet,Tailbone Pain
hallucinations appetite or sleep changes delusions low energy,Psychotic Depression
runny or stuffy nose fatigue chills headache dry cough muscle aches sore throat sometimes vomiting or diarrhea,Influenza
sensitivity to hot or cold foul taste in mouth,Dental Abscess
palpitations Irregular or rapid heartbeat chest discomfort lightheadedness shortness of breath fatigue sometimes no symptoms at all,Atrial Fibrillation
jaundice dark urine abdominal swelling itchy skin easy bruising leg swelling loss of appetite,Cirrhosis
Aching hips mild fever neck reduced range of motion stiffness in the shoulders especially in the morning fatigue,Polymyalgia Rheumatica (PMR)
moving to the lower right abdomen Sudden pain starting near the belly button,Appendicitis
erectile dysfunction or ejaculation issues in males Inability to conceive after 12 months of regular unprotected intercourse reduced sexual desire very painful periods,Infertility
frequent urination sugar in urine during tests in some cases no noticeable symptoms increased hunger blurred vision fatigue Increased thirst,Diabetes in Pregnancy
chest pressure fear or panic,Sleep Paralysis
absent periods issues with fertility pelvic discomfort,Polycystic Ovary Syndrome (PCOS)
burning sensation bright red blood on toilet paper or stool itching,Anal Fissures
persistent bloating abdominal swelling Abdominal or pelvic pain urinary urgency or frequency in some cases a noticeable pelvic mass fatigue irregular periods back pain feeling full quickly,Ovarian Cancer in Teenagers and Young Adults (Pre-Menopause)
fatigue abdominal mass anemia Blood in urine,Kidney Cancer
red Pink or brown discoloration of semen,Blood in Semen
no pain Foot turned inward or outward at birth,Positional Talipes in Children and Young People
negative mood changes avoidance of places or reminders of the trauma difficulty sleeping,Post-Traumatic Stress Disorder (PTSD)
swelling Red or pink patches fever in some cases itching neck small bumps,Skin Rashes in Children
difficulty concentrating sleep disturbance,Tinnitus
trouble concentrating difficulty sleeping,Post-Traumatic Stress Disorder (PTSD)
small head breathing difficulties heart defects feeding problems,Edwards’ Syndrome
Blurred distance vision needing to sit closer to screens or books difficulty driving or seeing classroom boards headaches,Myopia (Nearsightedness)
swelling grinding or cracking sounds in joints stiffness reduced flexibility pain worsening with movement or after long activity Joint pain,Osteoarthritis
passing grape-like cysts very high hCG levels pelvic pain severe nausea rapid uterine enlargement Vaginal bleeding in early pregnancy vomiting,Molar Pregnancy
scaly patches on the skin burning sensation cracked or dry skin that may bleed itching,Skin and Scalp Psoriasis
unexplained weight loss frequent urination blurred vision recurrent infections fatigue excessive hunger,Diabetes
redness around the ulcer difficulty eating or speaking Painful round or oval sores inside the mouth burning or tingling sensation,Mouth Ulcer
tenderness over the frontal sinus pain around the left frontal region mild headache Left-sided eye pain pressure or heaviness around the forehead,Frontal Sinusitis
Sudden episodes of intense fear fear of losing control or dying chills or heat sensations sweating rapid heartbeat chest pain shortness of breath,Panic Disorder
sweating Intense fear in social situations avoidance of social gatherings difficulty speaking rapid heartbeat worry about being judged or embarrassed trembling physical symptoms like stomach discomfort,Social Anxiety Disorder
limbs fatigue rash spreading from torso to face,Chickenpox
double vision Neck lump headaches persistent sore throat nasal blockage,Nasopharyngeal Cancer
headache Swollen painful salivary glands (usually parotid) muscle aches difficulty chewing or swallowing,Mumps
sometimes no symptoms in early stages Abdominal pain,Neuroendocrine Tumours (NETs)
abdominal cramps vaginal bleeding during pregnancy Repeated pregnancy losses before 20 weeks,Recurrent Miscarriage
unexplained weight changes feeling full quickly Abdominal or pelvic pain urinary urgency or frequency persistent bloating,Ovarian Cancer in Teenagers and Young Adults (Pre-Menopause)
red patches ulcerated lesions flesh-coloured or pink bumps itching commonly on sun-exposed areas,Skin Cancer (Non-Melanoma)
decreased urine output High fever or very low temperature low blood pressure,Sepsis
delayed motor milestones in children frequent falls breathing or heart issues in advanced stages,Muscular Dystrophy
in some cases emotional distress or changes in behavior disorientation inability to form new memories confusion,Amnesia
worsening of symptoms after physical or mental activity sore throat swollen lymph nodes dizziness Persistent severe fatigue lasting more than 6 months muscle or joint pain headaches memory or concentration problems unrefreshing sleep,Chronic Fatigue Syndrome (CFS)
feeling full quickly fatigue in some cases a noticeable pelvic mass back pain irregular periods unexplained weight changes abdominal swelling,Ovarian Cancer in Teenagers and Young Adults (Pre-Menopause)
attacks often starting at night commonly affecting the big toe,Gout
twitching or jerking of legs during rest temporary relief with movement Uncomfortable sensations in the legs,Restless Legs Syndrome
discomfort spreading to arm shortness of breath dizziness fatigue,Heart Disease
pain behind the eyes loss of appetite vomiting severe headache mild bleeding High fever rash,Dengue
visual disturbances usually on one side vomiting dizziness sensitivity to light Throbbing or pulsating headache,Migraine
clammy skin high or very low fever Very low blood pressure reduced urine output rapid heartbeat,Septic Shock
delusions slowed thinking loss of interest poor concentration hallucinations hopelessness low energy appetite or sleep changes Severe persistent sadness thoughts of self-harm,Psychotic Depression
urgency to pass stool Chronic diarrhea weight loss intermittent fever blood in stool loss of appetite abdominal pain fatigue,Inflammatory Bowel Disease (IBD)
Fever itching,Tinea Corporis (Ringworm)
nausea a feeling of impending doom dizziness Severe chest pain or pressure shortness of breath jaw or back sweating fatigue,Heart Attack
personality or behavior changes loss of balance weakness in limbs memory problems difficulty speaking seizures nausea or vomiting,Brain Tumours
chest discomfort dizziness shortness of breath fainting episodes feeling lightheaded fatigue especially during activity,Heart Block
chest pain recurrent lung infections hoarseness,Lung Cancer
Persistent skin lumps or patches commonly on sun-exposed areas or bleeding growths,Skin Cancer (Non-Melanoma)
High fever or very low temperature low blood pressure extreme weakness rapid heartbeat severe body pain,Sepsis
in severe cases paralysis of limbs or breathing muscles muscle weakness,Polio (Poliomyelitis)
grinding or cracking sounds in joints swelling,Osteoarthritis
Foot turned inward or outward at birth no pain flexible foot position normal leg movement,Positional Talipes in Children and Young People
occasional burning sensation mild itching Red or pink patches on the skin small raised bumps,Eczema (Atopic Dermatitis)
visual field loss eye pain in some cases Sudden vision loss in one eye sudden difficulty focusing blurred or dim vision seeing floaters or shadows,Eye Stroke
dizziness fatigue,Post-Concussion Syndrome (PCS)
burning sensation in the stomach belching fullness after eating mild abdominal pain,Indigestion
visible tapeworm segments in stool unexplained weight loss diarrhea or constipation,Tapeworm Infection
tenderness over the frontal sinus pressure or heaviness around the forehead,Frontal Sinusitis
sore throat fatigue mild fever cough Runny/stuffy nose,Common cold
ankles delayed growth muscle weakness Bone pain or tenderness bowed legs dental problems thickened wrists soft or weak bones in children,Rickets
Memory loss withdrawal from social activities,Alzheimer’s Disease
blurred or dim vision sudden difficulty focusing eye pain in some cases Sudden vision loss in one eye visual field loss,Eye Stroke
in later stages damage to the heart fever soles nerves swollen lymph nodes mouth,Syphilis
High fever joint pain behind the eyes,Dengue
hopelessness loss of interest low energy appetite or sleep changes hallucinations Severe persistent sadness slowed thinking delusions poor concentration,Psychotic Depression
chest pressure hallucinations such as sensing a presence feeling awake but unable to move short episodes lasting seconds to minutes fear or panic,Sleep Paralysis
Persistent cough unexplained weight loss fatigue chest pain shortness of breath,Lung Cancer
heaviness or pressure in the abdomen or groin Visible or palpable bulge under the skin,Hernia
rash in some cases vomiting high fever seizures sensitivity to light nausea confusion,Meningitis
symptoms worsening at night twitching or jerking of legs during rest,Restless Legs Syndrome
dizziness sometimes nosebleeds chest discomfort,High Blood Pressure (Hypertension)
Sharp chest pain that may worsen with deep breathing or lying down sometimes swelling in legs or abdomen shortness of breath fever fatigue pain improving when sitting forward palpitations,Pericarditis
Unexplained weight loss fatigue jaundice dark urine loss of appetite,Liver Cancer
Sudden right upper abdominal pain vomiting sometimes jaundice back or shoulder pain indigestion bloating pain after fatty meals,Gallstones
dizziness reduced concentration shortness of breath on exertion pale skin weakness nausea Fatigue,Iron Deficiency Anemia
pain during intercourse infertility bloating nausea fatigue Pelvic pain severe menstrual cramps heavy periods,Endometriosis
worry about being judged or embarrassed physical symptoms like stomach discomfort avoidance of social gatherings difficulty speaking Intense fear in social situations sweating rapid heartbeat,Social Anxiety Disorder
Fatigue reduced urine output muscle cramps high blood pressure difficulty concentrating,Chronic Kidney Disease
Lower abdominal or pelvic pain fullness in the abdomen bloating painful periods frequent urination in some cases sudden severe pain if the cyst ruptures or twists,Ovarian Cyst
muscle weakness mood changes bone pain Fatigue in severe cases soft or weak bones,Vitamin D Deficiency
irritability nightmares trouble concentrating heightened startle response difficulty sleeping avoidance of places or reminders of the trauma Flashbacks negative mood changes,Post-Traumatic Stress Disorder (PTSD)
increasing size multiple or uneven colours New or changing moles bleeding itching or dark streaks under nails irregular borders,Skin Cancer (Melanoma)
Persistent upper abdominal or back pain digestive problems such as bloating or indigestion nausea new-onset diabetes dark urine loss of appetite pale stools jaundice fatigue unexplained weight loss,Pancreatic Cancer
fatigue breathlessness,Obesity in Adults
Ear pain discomfort when touching or pulling the ear itching in the ear canal swelling,Otitis Externa (Swimmer's Ear)
tenderness in the neck area stiffness Neck pain muscle spasms headaches numbness or tingling in arms shoulder or back pain,Neck Injury
cracked or dry skin that may bleed silvery-white flakes scaly patches on the skin flaky scales on the scalp causing itching or dandruff-like appearance burning sensation,Skin and Scalp Psoriasis
Numbness or tingling difficulty walking muscle weakness dizziness balance issues bladder problems fatigue vision problems,Multiple Sclerosis (MS)
worsening pain with movement abdominal swelling vomiting moving to the lower right abdomen loss of appetite nausea Sudden pain starting near the belly button,Appendicitis
dizziness headaches pale skin shortness of breath cravings for non-food items like ice or clay Fatigue brittle nails weakness feet,Iron Deficiency Anaemia
feet fatigue swelling of hands frequent infections,Sickle Cell Disease
sore throat back or neck stiffness in severe cases paralysis of limbs or breathing muscles fatigue muscle weakness Fever headache nausea stomach pain,Polio (Poliomyelitis)
Painless lump under the skin swelling unexplained weight loss in advanced cases increasing size of a mass,Soft Tissue Sarcomas
fatigue Cough with mucus,Chest Infection
discomfort when sitting Pain at the base of the spine pain when leaning back swelling,Tailbone Pain
reduced productivity daytime fatigue,Insomnia
fatigue High fever headache muscle aches sometimes vomiting or diarrhea chills dry cough runny or stuffy nose,Influenza
trouble sleeping irritability Unintentional weight loss menstrual irregularities muscle weakness fatigue increased sweating tremors nervousness,Overactive Thyroid (Hyperthyroidism)
discomfort during wrist or hand movements pain when gripping or lifting objects tenderness on the outer side of the elbow stiffness weakness in the forearm Pain,Tennis Elbow
eye irritation visible blood vessels acne-like bumps Facial redness,Rosacea
fatigue chest pain while breathing or coughing chills,Pneumonia
abdominal swelling fever nausea moving to the lower right abdomen Sudden pain starting near the belly button loss of appetite,Appendicitis
Facial redness burning or stinging sensation flushing dry or sensitive skin eye irritation visible blood vessels,Rosacea
hair loss mood changes in severe cases soft or weak bones,Vitamin D Deficiency
physical symptoms like stomach discomfort Intense fear in social situations rapid heartbeat,Social Anxiety Disorder
tenderness pus-filled center possible spreading to nearby skin painful lump on the skin fever in severe cases,Boils on Skin
painful swallowing fever Sudden severe sore throat headache white patches on tonsils swollen lymph nodes,Strep Throat
in some cases emotional distress or changes in behavior confusion,Amnesia
Sharp abdominal or pelvic pain fainting shoulder pain vaginal bleeding symptoms of early pregnancy such as missed period or nausea,Ectopic Pregnancy
vaginal bleeding dizziness shoulder pain symptoms of early pregnancy such as missed period or nausea Sharp abdominal or pelvic pain fainting,Ectopic Pregnancy
watery eyes mild fever Runny/stuffy nose post-nasal drip fatigue cough,Common cold
nausea swollen abdomen loss of appetite Sudden pain around the belly button that moves to the lower right side fever,Appendicitis in Children
slight tenderness along the spine stiffness in the back muscles,Muscular Back Strain
dental problems soft or weak bones in children thickened wrists delayed growth Bone pain or tenderness,Rickets
high fever swollen glands body aches,Scarlet Fever
delayed growth dental problems soft or weak bones in children,Rickets
dull ache in the groin or lower abdomen A painless lump or swelling in one testicle,Testicular Cancer: Teenagers and Young Adults
drooping face dizziness difficulty speaking or understanding speech sudden vision problems severe headache or confusion Sudden weakness or numbness on one side of the body,Stroke
feeling out of control or activity Intense fear or anxiety triggered by a specific object sweating shortness of breath trembling,Phobia
Sudden pain around the belly button that moves to the lower right side vomiting worsening pain with movement or coughing constipation or diarrhea,Appendicitis in Children
ankles thickened wrists muscle weakness bowed legs delayed growth dental problems Bone pain or tenderness,Rickets
Persistent stomach pain vomiting difficulty swallowing indigestion loss of appetite fatigue blood in vomit or black stools unexplained weight loss nausea,Stomach Cancer
Persistent severe fatigue lasting more than 6 months unrefreshing sleep swollen lymph nodes muscle or joint pain memory or concentration problems sore throat,Chronic Fatigue Syndrome (CFS)
cough watery eyes,Common cold
or groin neck tender or painful lumps under the jaw armpits sore throat,Swollen Glands
pale skin brittle nails dizziness weakness,Iron Deficiency Anemia
recurrent infections swollen lymph nodes muscle aches Fever rash unexplained weight loss fatigue prolonged diarrhea,HIV
no pain normal leg movement,Positional Talipes in Children and Young People
non-refreshing sleep reduced productivity,Insomnia
slight tenderness along the spine discomfort during movement,Muscular Back Strain
shortness of breath lightheadedness fatigue palpitations sometimes no symptoms at all,Atrial Fibrillation
muscle or joint pain unrefreshing sleep worsening of symptoms after physical or mental activity dizziness memory or concentration problems Persistent severe fatigue lasting more than 6 months,Chronic Fatigue Syndrome (CFS)
fainting shoulder pain symptoms of early pregnancy such as missed period or nausea Sharp abdominal or pelvic pain vaginal bleeding,Ectopic Pregnancy
Pain or fullness in the upper left abdomen fatigue easy bruising or bleeding frequent infections,Spleen Problems and Spleen Removal (Splenectomy)
headaches poor concentration feeling unrefreshed after sleep irritability,Insomnia
body aches during initial infection or anus mouth swollen lymph nodes itching or burning sensation Painful blisters or sores on the lips fever tingling before outbreaks genitals,Herpes
rapid dehydration vomiting dry mouth weakness low blood pressure,Cholera
especially in the morning fatigue,Polymyalgia Rheumatica (PMR)
Neck lump headaches persistent sore throat hearing loss nasal blockage frequent nosebleeds double vision ear fullness facial numbness ringing in the ears,Nasopharyngeal Cancer
cracking at the corners of the mouth difficulty swallowing burning sensation soreness redness altered taste White creamy patches on the tongue or inner cheeks,Oral Thrush in Adults
restricted interests Difficulty with social interaction repetitive behaviors,Autism
body aches sometimes chills or persistent tightness in the chest wheezing fatigue fever Cough with mucus,Chest Infection
Bloating abdominal cramps,Lactose Intolerance
sometimes nosebleeds chest discomfort shortness of breath blurred vision,High Blood Pressure (Hypertension)
silvery-white flakes itching Red cracked or dry skin that may bleed flaky scales on the scalp causing itching or dandruff-like appearance scaly patches on the skin thickened nails,Skin and Scalp Psoriasis
swollen tonsils Bad breath metallic taste sore throat a feeling of something stuck in the throat difficulty swallowing,Tonsil Stones
difficulty concentrating reduced emotional expression sudden changes in behavior delusions disorganized thinking Hallucinations,Psychosis
dizziness feeling lightheaded,Heart Block
weakness dizziness,Iron Deficiency Anaemia
trouble sleeping trembling irritability feeling a sense of impending danger or panic rapid heartbeat Excessive worry sweating racing thoughts difficulty concentrating,Mental Anxiety Disorder
hallucinations disorientation disturbed sleep cycle memory problems restlessness difficulty focusing rapid mood changes,Delirium
swelling stiffness grinding or cracking sounds in joints reduced flexibility pain worsening with movement or after long activity Joint pain,Osteoarthritis
reduced range of motion stiffness (especially in the morning) fatigue weakness warmth around joints Joint pain swelling symmetrical joint involvement,Rheumatoid Arthritis
anaemia symptoms frequent infections,Spleen Problems and Spleen Removal (Splenectomy)
coughing or breathing difficulty fatigue weight loss fever Painless swollen lymph nodes abdominal pain or swelling frequent infections,Non-Hodgkin Lymphoma in Children
joint pain behind the eyes severe headache nausea mild bleeding fatigue muscle pain,Dengue
discomfort during lifting or shifting motions shoulder movement causing discomfort while rotation remains full difficulty elevating arm beyond 180 degrees stiffness in the right shoulder Pain pain during movement,Bicipital Tendonitis (Right Shoulder)
gradual enlargement of the patch oval scaly patch on the skin headache redness,Tinea Corporis (Ringworm)
pale stools new-onset diabetes digestive problems such as bloating or indigestion Persistent upper abdominal or back pain jaundice loss of appetite fatigue,Pancreatic Cancer
excessive facial or body hair difficulty losing weight pelvic discomfort Irregular periods thinning scalp hair acne absent periods,Polycystic Ovary Syndrome (PCOS)
coughing up blood fatigue,Tuberculosis
trembling numbness or tingling sweating dizziness nausea chest pain rapid heartbeat shortness of breath,Panic Disorder
withdrawal from conversations muffled sounds Difficulty hearing conversations,Hearing Loss
fever Sore throat thick gray or white coating on the throat or tonsils,Diphtheria
swelling or lumps near the anus mucus discharge discomfort while sitting itching or irritation around the anus,Piles
loss of balance in severe cases difficulty walking tingling Numbness burning or sharp pain in hands or feet,Peripheral Neuropathy
pelvic pain increased vaginal or penile discharge swollen testicles Painful urination,Gonorrhoea
Sharp chest pain that may worsen with deep breathing or lying down sometimes swelling in legs or abdomen pain improving when sitting forward fatigue shortness of breath,Pericarditis
stiffness numbness or tingling in arms muscle spasms shoulder or back pain headaches,Neck Injury
Sudden severe sore throat swollen lymph nodes red or swollen tonsils headache fever white patches on tonsils,Strep Throat
Brown or dark vaginal discharge light bleeding at the start or end of a period spotting between periods sometimes mild odor depending on the cause mild abdominal cramping,Brown Discharge
frequent infections weakness weight loss Bone pain fatigue anemia,Multiple Myeloma
stiff neck sensitivity to light drowsiness high fever nausea rash in some cases Severe headache vomiting confusion seizures,Meningitis
intermittent or constant noise difficulty concentrating sometimes associated hearing loss or clicking sounds in one or both ears,Tinnitus
abdominal swelling dark urine,Cirrhosis
itching or burning sensation Painful blisters or sores on the lips swollen lymph nodes,Herpes
unexplained weight loss swollen lymph nodes muscle aches,HIV
goes depending on the cause or pain that comes constipation nausea,Stomach Ache and Abdominal Pain
urinary urgency or frequency abdominal swelling Abdominal or pelvic pain in some cases a noticeable pelvic mass persistent bloating,Ovarian Cancer in Teenagers and Young Adults (Pre-Menopause)
headaches difficulty driving or seeing classroom boards eye strain Blurred distance vision needing to sit closer to screens or books,Myopia (Nearsightedness)
brittle nails frequent infections poor concentration irritability dry skin fatigue,Malnutrition
burning or tingling sensation difficulty eating or speaking redness around the ulcer Painful round or oval sores inside the mouth,Mouth Ulcer
nausea loss of appetite vomiting swelling in the abdomen upper abdominal pain fatigue Unexplained weight loss,Liver Cancer
reduced urine output confusion or disorientation rapid heartbeat cold high or very low fever symptoms of severe infection extreme weakness,Septic Shock
a feeling of impending doom fatigue,Heart Attack
Mild breathing difficulty mild cough,Upper Respiratory Tract Infection (URTI)
Wheezing shortness of breath persistent cough especially at night rapid breathing,Asthma in Children
pale stools joint pain Fatigue vomiting abdominal pain,Hepatitis
short episodes lasting seconds to minutes hallucinations such as sensing a presence,Sleep Paralysis
itchy red spots that turn into fluid-filled blisters general discomfort fatigue rash spreading from torso to face limbs headache Fever,Chickenpox
very heavy periods passing large clots Bleeding between periods bleeding after sex or menopause,Abnormal Uterine Bleeding
jaw or back sweating Severe chest pain or pressure a feeling of impending doom neck,Heart Attack
White creamy patches on the tongue or inner cheeks soreness cracking at the corners of the mouth,Oral Thrush in Adults
bloating frequent urination constipation back pain,Fibroids
fatigue Painless swollen lymph nodes abdominal swelling or discomfort frequent infections chest pain or cough,Non-Hodgkin Lymphoma
worsening pain with movement or coughing Sudden pain around the belly button that moves to the lower right side constipation or diarrhea fever nausea vomiting,Appendicitis in Children
mild abdominal cramping spotting between periods light bleeding at the start or end of a period,Brown Discharge
headache cough,Common cold
symptoms of early pregnancy such as missed period or nausea vaginal bleeding dizziness Sharp abdominal or pelvic pain,Ectopic Pregnancy
shortness of breath fatigue diarrhea runny or stuffy nose sore throat muscle aches loss of smell or taste Fever headache general weakness cough,COVID-19
a red blotchy skin rash that spreads from the face downward red watery eyes High fever runny nose,Measles
stress red or inflamed patches,Atopic Eczema
hoarse voice chest pain persistent heartburn,Oesophageal Cancer
loss of appetite urgency to pass stool weight loss blood in stool Chronic diarrhea intermittent fever abdominal pain,Inflammatory Bowel Disease (IBD)
burning sensation Sharp pain during or after bowel movements,Anal Fissures
small white spots inside the mouth (Koplik spots) red watery eyes,Measles
weight loss difficulty chewing or swallowing white or red patches lumps or thickening in the mouth jaw pain numbness unexplained bleeding hoarseness Persistent mouth sores,Mouth Cancer
difficulty swallowing confusion fear of water headache weakness Fever excessive salivation,Rabies
shortness of breath cold hands,Iron Deficiency Anemia
sometimes nosebleeds shortness of breath blurred vision chest discomfort but may include headaches Often no symptoms fatigue dizziness,High Blood Pressure (Hypertension)
silvery-white flakes scaly patches on the skin thickened nails Red itching flaky scales on the scalp causing itching or dandruff-like appearance cracked or dry skin that may bleed burning sensation,Skin and Scalp Psoriasis
itching or burning sensation Painful blisters or sores on the lips mouth fever genitals or anus body aches during initial infection swollen lymph nodes,Herpes
unexplained weight loss fatigue abdominal swelling Upper abdominal pain nausea loss of appetite a feeling of fullness after small meals jaundice,Liver Tumours
vomiting indigestion fatigue difficulty swallowing loss of appetite nausea Persistent stomach pain,Stomach Cancer
weakness in advanced stages jaundice or swelling,Non-Alcoholic Fatty Liver Disease (NAFLD)
swollen lymph nodes unexplained weight loss fever frequent infections,Chronic Lymphocytic Leukaemia
itchy or watery eyes post-nasal drip runny or stuffy nose cough itchy nose Sneezing fatigue during allergy exposure,Allergic Rhinitis
pain during overhead activities especially when lifting the arm night pain when lying on the affected side,Subacromial Pain Syndrome
fever fatigue muscle aches,Mumps
emotional distress such as anxiety or grief abdominal cramps vaginal bleeding during pregnancy,Recurrent Miscarriage
fever wheezing shortness of breath sometimes chills or persistent tightness in the chest fatigue body aches chest discomfort,Chest Infection
persistent bad taste in the mouth receding gums Red swollen gums bleeding while brushing gum tenderness bad breath,Gum Disease
dark urine nausea pale stools yellowing of skin or eyes (jaundice) loss of appetite vomiting joint pain fever Fatigue,Hepatitis
Temporary inability to move or speak upon waking or falling asleep fear or panic feeling awake but unable to move,Sleep Paralysis
nausea fatigue increased appetite Stomach pain,Tapeworm Infection
silvery-white flakes cracked or dry skin that may bleed flaky scales on the scalp causing itching or dandruff-like appearance itching,Skin and Scalp Psoriasis
abdominal cramps gas Bloating rumbling sounds in the stomach discomfort after consuming milk or dairy products diarrhea nausea,Lactose Intolerance
difficulty eating or speaking burning or tingling sensation redness around the ulcer,Mouth Ulcer
Persistent nasal blockage reduced sense of smell numbness or tingling in the face double vision headaches facial pain or pressure loose teeth nosebleeds,Nasal and Sinus Cancer
loss of height over time back pain stooped posture fractures occurring easily from minor falls or injuries brittle bones Weak,Osteoporosis
heightened startle response negative mood changes,Post-Traumatic Stress Disorder (PTSD)
Mild breathing difficulty nasal congestion slight chest discomfort,Upper Respiratory Tract Infection (URTI)
diarrhea fatigue unexplained weight loss nausea flushing of the skin hormonal symptoms like rapid heartbeat or sweating wheezing sometimes no symptoms in early stages Abdominal pain,Neuroendocrine Tumours (NETs)
muscle tightness in severe cases weakness in the legs pain radiating to the buttocks or legs difficulty standing or walking for long periods Lower back pain numbness or tingling,Spondylolisthesis
weakness in limbs nausea or vomiting loss of balance Persistent headaches memory problems seizures,Brain Tumours
headaches irritability waking too early poor concentration,Insomnia
dizziness fatigue but may include headaches Often no symptoms shortness of breath blurred vision sometimes nosebleeds,High Blood Pressure (Hypertension)
bleeding after sex or menopause passing large clots prolonged menstrual bleeding severe cramping irregular cycles Bleeding between periods,Abnormal Uterine Bleeding
trouble with communication difficulty thinking or problem-solving Memory loss poor judgment personality or mood changes difficulty performing daily activities confusion,Dementia
Sharp pain during or after bowel movements itching burning sensation bright red blood on toilet paper or stool a visible small tear near the anus,Anal Fissures
swollen lymph nodes patchy hair loss skin rashes on palms brain mouth,Syphilis
headache weakness sweating irritability confusion,Hypoglycaemia
nasal congestion mild cough Mild breathing difficulty,Upper Respiratory Tract Infection (URTI)
fatigue or difficulty breathing vision changes swelling unexplained pain,Rare Tumours
reduced hearing discomfort when touching or pulling the ear Ear pain itching in the ear canal,Otitis Externa (Swimmer's Ear)
nosebleeds Persistent nasal blockage loose teeth reduced sense of smell double vision,Nasal and Sinus Cancer
slurred speech Loss of consciousness bleeding from nose or ears memory loss confusion,Severe Head Injury
reduced flexibility Mild spine pain discomfort during movement stiffness in the back muscles,Muscular Back Strain
frequent urination sometimes fruity-smelling breath or confusion in severe cases headache blurred vision dry mouth nausea,Hyperglycaemia
ulcerated lesions red patches non-healing sores Persistent skin lumps or patches or bleeding growths itching flesh-coloured or pink bumps,Skin Cancer (Non-Melanoma)
cloudy or foul-smelling urine Burning sensation during urination pelvic discomfort frequent urge to urinate sometimes fever or blood in urine,Urinary Tract Infection (UTI)
vomiting bloating nausea abdominal cramps Watery diarrhoea fever signs of dehydration such as dry mouth or dizziness,Gastroenteritis
blood in vomit or black stools vomiting unexplained weight loss Persistent stomach pain indigestion difficulty swallowing fatigue loss of appetite nausea bloating after meals,Stomach Cancer
runny or stuffy nose sore throat High fever dry cough muscle aches sometimes vomiting or diarrhea chills headache fatigue,Influenza
hard or knotted feeling in the muscle muscle tightness temporary difficulty moving the leg,Leg Cramps
fatigue abdominal pain or swelling fever Painless swollen lymph nodes,Non-Hodgkin Lymphoma in Children
armpits tender or painful lumps under the jaw,Swollen Glands
confusion trouble with communication difficulty thinking or problem-solving,Dementia
Fatigue shortness of breath pale skin poor concentration cold hands rapid heartbeat,Iron Deficiency Anemia
breathing or heart issues in advanced stages muscle cramps enlarged calf muscles,Muscular Dystrophy
disorientation hallucinations difficulty concentrating agitation memory problems disturbed sleep-wake cycle Sudden confusion,Delirium
back pain in advanced cases feeling of heaviness in the scrotum A painless lump or swelling in one testicle breast tenderness sudden fluid buildup in the scrotum,Testicular Cancer
High blood pressure frequent urination back or side pain kidney stones progressive decline in kidney function blood in urine urinary tract infections enlarged abdomen,Polycystic Kidney Disease
persistent heartburn weight loss food getting stuck in the throat Difficulty swallowing,Oesophageal Cancer
ring-shaped rashes Red in some cases foul odor in moist areas small bumps or blisters itchy,Fungal Skin Infections
difficulty walking muscle cramps delayed motor milestones in children frequent falls Progressive muscle weakness breathing or heart issues in advanced stages enlarged calf muscles,Muscular Dystrophy
swelling or bad breath in severe cases pain when chewing sensitivity to hot or cold foods brown or black staining visible holes or pits in teeth Toothache,Cavities
delusions loss of interest,Psychotic Depression
negative mood changes nightmares trouble concentrating intrusive memories,Post-Traumatic Stress Disorder (PTSD)
passing grape-like cysts severe nausea rapid uterine enlargement,Molar Pregnancy
breathing or heart issues in advanced stages frequent falls,Muscular Dystrophy
genital area small red bumps or blisters wrists,Scabies
diarrhea fatigue pain that may radiate to the thighs vomiting Cramping pain in the lower abdomen headache,Dysmenorrhea
fatigue pain that may radiate to the thighs nausea Cramping pain in the lower abdomen,Dysmenorrhea
fractures from minor injuries fatigue,Osteosarcoma
swelling redness,Gout
small raised bumps rough or scaly texture irritation Red or pink patches on the skin dryness,Eczema (Atopic Dermatitis)
humming or clicking sounds in one or both ears sometimes associated hearing loss difficulty concentrating sleep disturbance,Tinnitus
